qseqid	sallseqid	qlen	slen	qstart	qend	sstart	send	length	evalue	bitscore	score	pident	qframe	align_len	coverage	sample_name
contig_4675	contig_18926	86	89	4	86	1	84	84	3.95e-34	137	74	96.429	1	83	96.5116279069768	M4
contig_7412	contig_11868	90	91	1	90	1	91	91	1.16e-39	156	84	97.802	1	90	100	M4
contig_7862	contig_15725	86	91	2	86	1	86	86	1.42e-33	135	73	95.349	1	85	98.8372093023256	M4
contig_8611	contig_17362	90	92	3	90	3	91	89	1.5e-38	152	82	97.753	1	88	97.7777777777778	M4
contig_1047	contig_16992	92	79	13	91	1	79	79	1.48e-28	119	64	93.671	1	79	85.8695652173913	M7
contig_13487	contig_16552	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	M7
contig_13581	contig_17992	91	92	1	91	2	92	91	1.43e-43	169	91	100	1	91	100	M7
contig_14809	contig_17992	91	92	1	90	2	92	91	2.39e-41	161	87	98.901	1	90	98.9010989010989	M7
contig_23066	contig_22478	91	94	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	M7
contig_2806	contig_18865	92	91	2	88	1	88	88	5.25e-38	150	81	97.727	1	87	94.5652173913043	M7
contig_3118	contig_20677	93	91	1	93	1	91	94	1.92e-37	148	80	95.745	1	93	100	M7
contig_3138	contig_9459	92	91	1	92	1	91	93	3.16e-35	141	76	94.624	1	92	100	M7
contig_35946	contig_22478	90	94	1	90	1	91	91	2.36e-41	161	87	98.901	1	90	100	M7
contig_4675	contig_16268	86	93	1	86	3	89	87	1.74e-37	148	80	97.701	1	86	100	M7
contig_7412	contig_16552	90	91	1	90	1	91	91	2.38e-36	145	78	95.604	1	90	100	M7
contig_7862	contig_14926	86	91	2	83	1	83	83	2.91e-35	141	76	97.59	1	82	95.3488372093023	M7
contig_8611	contig_7255	90	92	3	90	4	92	89	3.08e-35	141	76	95.506	1	88	97.7777777777778	M7
contig_1047	contig_4830	92	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	98.9130434782609	F20
contig_13487	contig_19258	91	91	1	91	1	91	91	1.41e-43	169	91	100	1	91	100	F20
contig_13581	contig_15420	91	91	1	91	1	91	91	1.41e-43	169	91	100	1	91	100	F20
contig_14809	contig_15420	91	91	1	90	1	91	91	2.35e-41	161	87	98.901	1	90	98.9010989010989	F20
contig_15452	contig_5725	91	92	1	91	2	92	91	1.41e-43	169	91	100	1	91	100	F20
contig_1674	contig_7344	91	91	1	91	1	91	91	1.41e-43	169	91	100	1	91	100	F20
contig_20082	contig_9436	93	95	1	93	2	95	94	2.47e-26	111	60	88.298	1	93	100	F20
contig_22249	contig_5121	92	91	1	89	1	89	89	1.85e-42	165	89	100	1	89	96.7391304347826	F20
contig_2806	contig_11466	92	93	2	91	1	91	91	1.11e-39	156	84	97.802	1	90	97.8260869565217	F20
contig_3118	contig_14068	93	92	1	90	1	91	91	2.42e-41	161	87	98.901	1	90	96.7741935483871	F20
contig_39036	contig_5725	90	92	1	90	2	92	91	2.32e-41	161	87	98.901	1	90	100	F20
contig_5966	contig_20313	91	91	2	90	2	90	89	8.47e-41	159	86	98.876	1	89	97.8021978021978	F20
contig_7412	contig_19258	90	91	1	90	1	91	91	2.34e-36	145	78	95.604	1	90	100	F20
contig_7862	contig_3879	86	91	2	86	1	86	86	1.33e-33	135	73	95.349	1	85	98.8372093023256	F20
contig_9081	contig_11283	91	154	1	91	1	91	91	6.55e-42	163	88	98.901	1	91	100	F20
contig_1047	contig_6535	92	79	13	91	1	79	79	6.83e-32	130	70	96.203	1	79	85.8695652173913	M1
contig_11498	contig_11256	92	91	1	91	1	91	91	1.46e-38	152	82	96.703	1	91	98.9130434782609	M1
contig_13487	contig_7208	91	91	2	90	2	90	89	4e-39	154	83	97.753	1	89	97.8021978021978	M1
contig_13581	contig_21658	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	M1
contig_14809	contig_21658	91	91	1	90	1	91	91	2.39e-41	161	87	98.901	1	90	98.9010989010989	M1
contig_16028	contig_21146	87	86	6	87	1	82	82	1.37e-33	135	73	96.341	1	82	94.2528735632184	M1
contig_20082	contig_22117	93	77	15	91	1	77	77	4.23e-19	87.9	47	87.013	1	77	82.7956989247312	M1
contig_2806	contig_18052	92	91	3	88	2	88	87	1.89e-37	148	80	97.701	1	86	93.4782608695652	M1
contig_3118	contig_14247	93	91	1	90	1	91	91	2.46e-41	161	87	98.901	1	90	96.7741935483871	M1
contig_3138	contig_14148	92	94	2	92	3	94	92	3.13e-40	158	85	97.826	1	91	98.9130434782609	M1
contig_7412	contig_7208	90	91	2	89	2	91	90	3.94e-39	154	83	97.778	1	88	97.7777777777778	M1
contig_8611	contig_3559	90	92	1	90	1	91	91	2.37e-36	145	78	95.604	1	90	100	M1
contig_11498	contig_12750	92	91	1	91	1	91	91	3.04e-40	158	85	97.802	1	91	98.9130434782609	M3
contig_13487	contig_1240	91	92	1	91	1	91	91	1.39e-43	169	91	100	1	91	100	M3
contig_13581	contig_19881	91	92	1	91	2	92	91	1.39e-43	169	91	100	1	91	100	M3
contig_14809	contig_19881	91	92	1	90	2	92	91	2.32e-41	161	87	98.901	1	90	98.9010989010989	M3
contig_15452	contig_20512	91	91	1	91	1	91	91	1.39e-43	169	91	100	1	91	100	M3
contig_2806	contig_6557	92	92	1	88	1	89	89	1.42e-38	152	82	97.753	1	88	95.6521739130435	M3
contig_3118	contig_11097	93	92	1	93	1	91	94	1.86e-37	148	80	95.745	1	93	100	M3
contig_39036	contig_20512	90	91	1	90	1	91	91	2.29e-41	161	87	98.901	1	90	100	M3
contig_7412	contig_1240	90	92	1	90	1	91	91	2.3e-36	145	78	95.604	1	90	100	M3
contig_7862	contig_5969	86	89	4	86	1	84	84	1.69e-32	132	71	95.238	1	83	96.5116279069768	M3
contig_8611	contig_16785	90	91	1	89	1	91	91	2.3e-36	145	78	95.604	1	89	98.8888888888889	M3
contig_1047	contig_12482	92	91	1	91	1	91	91	1.54e-38	152	82	96.703	1	91	98.9130434782609	M2
contig_11498	contig_4594	92	92	1	90	2	91	90	2.56e-41	161	87	98.889	1	90	97.8260869565217	M2
contig_13487	contig_16136	91	92	1	91	2	92	91	3.27e-40	158	85	97.802	1	91	100	M2
contig_13581	contig_21551	91	91	1	91	1	91	91	1.51e-43	169	91	100	1	91	100	M2
contig_14809	contig_21551	91	91	1	90	1	91	91	2.53e-41	161	87	98.901	1	90	98.9010989010989	M2
contig_20082	contig_7396	93	94	1	92	2	94	93	9.47e-31	126	68	91.398	1	92	98.9247311827957	M2
contig_23075	contig_14258	90	91	1	89	1	91	92	2.55e-26	111	60	89.13	1	89	98.8888888888889	M2
contig_2806	contig_4613	92	91	2	88	1	88	88	5.54e-38	150	81	97.727	1	87	94.5652173913043	M2
contig_3118	contig_11987	93	92	1	90	1	91	91	2.6e-41	161	87	98.901	1	90	96.7741935483871	M2
contig_3138	contig_17486	92	73	19	92	1	73	75	7.33e-22	97.1	52	90.667	1	74	80.4347826086957	M2
contig_4675	contig_12459	86	92	1	86	1	87	87	1.83e-37	148	80	97.701	1	86	100	M2
contig_7412	contig_16136	90	92	1	90	2	92	91	1.16e-39	156	84	97.802	1	90	100	M2
contig_7862	contig_19424	86	91	2	86	1	84	85	2.37e-36	145	78	97.647	1	85	98.8372093023256	M2
contig_8611	contig_4395	90	92	1	90	1	91	91	1.16e-39	156	84	97.802	1	90	100	M2
contig_1047	contig_1965	92	91	1	91	1	91	91	1.22e-38	152	82	96.703	1	91	98.9130434782609	M9
contig_11498	contig_3786	92	91	1	91	1	91	91	2.62e-40	158	85	97.802	1	91	98.9130434782609	M9
contig_13487	contig_14592	91	91	1	91	1	91	91	1.19e-43	169	91	100	1	91	100	M9
contig_20082	contig_11233	93	95	1	93	2	95	94	2.08e-31	128	69	91.489	1	93	100	M9
contig_3138	contig_13343	92	73	19	92	1	73	75	5.76e-27	113	61	94.667	1	74	80.4347826086957	M9
contig_4675	contig_13719	86	91	1	86	1	87	87	1.45e-37	148	80	97.701	1	86	100	M9
contig_7412	contig_14592	90	91	1	90	1	91	91	1.99e-36	145	78	95.604	1	90	100	M9
contig_7862	contig_3187	86	91	2	86	1	86	86	1.13e-33	135	73	95.349	1	85	98.8372093023256	M9
contig_14885	contig_4886	92	91	1	89	1	89	89	4.79e-43	165	89	100	1	89	96.7391304347826	M12
contig_3118	contig_2878	93	92	1	91	1	92	92	1.74e-42	163	88	98.913	1	91	97.8494623655914	M12
contig_36353	contig_4886	90	91	1	90	1	91	91	6.02e-42	161	87	98.901	1	90	100	M12
contig_4675	contig_5341	86	109	1	86	19	105	87	4.43e-38	148	80	97.701	1	86	100	M12
contig_11498	contig_6118	92	91	1	91	1	91	91	3.26e-40	158	85	97.802	1	91	98.9130434782609	WW21
contig_11872	contig_13512	91	91	1	91	1	91	91	6.92e-42	163	88	98.901	1	91	100	WW21
contig_13487	contig_18557	91	92	1	91	2	92	91	1.49e-43	169	91	100	1	91	100	WW21
contig_13581	contig_10266	91	92	1	91	2	92	91	1.49e-43	169	91	100	1	91	100	WW21
contig_14553	contig_12306	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	WW21
contig_14809	contig_10266	91	92	1	90	2	92	91	2.49e-41	161	87	98.901	1	90	98.9010989010989	WW21
contig_14885	contig_9576	92	91	1	89	1	89	89	1.95e-42	165	89	100	1	89	96.7391304347826	WW21
contig_15452	contig_12772	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	WW21
contig_16028	contig_19975	87	91	1	87	1	87	87	2.37e-36	145	78	96.552	1	87	100	WW21
contig_16065	contig_17732	93	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	97.8494623655914	WW21
contig_16548	contig_19058	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	WW21
contig_1674	contig_16928	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	WW21
contig_20082	contig_11381	93	94	1	93	1	93	93	2.59e-31	128	69	91.398	1	93	100	WW21
contig_23075	contig_7869	90	88	1	87	2	88	89	5.46e-18	84.2	45	84.27	1	87	96.6666666666667	WW21
contig_36353	contig_9576	90	91	1	90	1	91	91	2.45e-41	161	87	98.901	1	90	100	WW21
contig_39036	contig_12772	90	91	1	90	1	91	91	2.45e-41	161	87	98.901	1	90	100	WW21
contig_4005	contig_19312	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	WW21
contig_4109	contig_9476	91	91	1	91	1	91	91	3.22e-40	158	85	97.802	1	91	100	WW21
contig_5966	contig_2298	91	91	2	91	2	91	90	5.35e-43	167	90	100	1	90	98.9010989010989	WW21
contig_7412	contig_18557	90	92	1	90	2	92	91	2.47e-36	145	78	95.604	1	90	100	WW21
contig_7862	contig_7108	86	91	2	86	1	86	86	1.4e-33	135	73	95.349	1	85	98.8372093023256	WW21
contig_9081	contig_4594	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	WW21
contig_11498	contig_16405	92	91	1	91	1	91	91	3.15e-40	158	85	97.802	1	91	98.9130434782609	WW22
contig_11872	contig_8852	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_13581	contig_19923	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_14553	contig_8691	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_14809	contig_19923	91	91	1	90	1	91	91	2.4e-41	161	87	98.901	1	90	98.9010989010989	WW22
contig_15452	contig_15532	91	91	2	91	2	91	90	5.16e-43	167	90	100	1	90	98.9010989010989	WW22
contig_1674	contig_8723	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_20082	contig_1386	93	74	18	91	1	74	74	1.96e-22	99	53	90.541	1	74	79.5698924731183	WW22
contig_21496	contig_4895	87	86	1	86	1	86	86	8.16e-41	159	86	100	1	86	98.8505747126437	WW22
contig_21502	contig_2866	91	91	1	91	1	91	91	6.67e-42	163	88	98.901	1	91	100	WW22
contig_21523	contig_7225	93	92	2	93	1	92	92	1.91e-42	165	89	98.913	1	92	98.9247311827957	WW22
contig_22249	contig_15757	92	92	1	92	1	92	92	4.04e-44	171	92	100	1	92	100	WW22
contig_22712	contig_19632	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_22747	contig_17421	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_22758	contig_19197	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_23066	contig_19785	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_23768	contig_20689	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	WW22
contig_35946	contig_19785	90	91	1	90	1	91	91	2.37e-41	161	87	98.901	1	90	100	WW22
contig_39036	contig_15532	90	91	2	90	2	91	90	8.51e-41	159	86	98.889	1	89	98.8888888888889	WW22
contig_4005	contig_20922	91	81	1	81	1	81	81	5.19e-38	150	81	100	1	81	89.010989010989	WW22
contig_7862	contig_17954	86	91	2	83	1	83	83	1.35e-33	135	73	96.386	1	82	95.3488372093023	WW22
contig_1047	contig_21682	92	79	13	91	1	79	79	7.34e-32	130	70	96.203	1	79	85.8695652173913	WW23
contig_11498	contig_22028	92	94	1	91	1	91	91	7.24e-42	163	88	98.901	1	91	98.9130434782609	WW23
contig_11872	contig_103	91	92	1	91	2	92	91	7.14e-42	163	88	98.901	1	91	100	WW23
contig_13487	contig_22801	91	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_13581	contig_23467	91	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_14553	contig_5319	91	92	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_14809	contig_23467	91	91	1	90	1	91	91	2.57e-41	161	87	98.901	1	90	98.9010989010989	WW23
contig_14885	contig_3186	92	92	1	75	2	76	75	1.22e-34	139	75	100	1	75	81.5217391304348	WW23
contig_15452	contig_5579	91	92	1	91	2	92	91	7.14e-42	163	88	98.901	1	91	100	WW23
contig_16028	contig_14691	87	92	1	85	1	85	85	3.14e-40	158	85	100	1	85	97.7011494252874	WW23
contig_16065	contig_18176	93	91	1	90	1	90	90	5.67e-43	167	90	100	1	90	96.7741935483871	WW23
contig_16548	contig_8117	91	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_1674	contig_8776	91	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_21496	contig_3185	87	91	1	74	1	74	74	4.09e-34	137	74	100	1	74	85.0574712643678	WW23
contig_21502	contig_12532	91	92	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_21523	contig_10459	93	92	1	92	1	92	92	2.04e-42	165	89	98.913	1	92	98.9247311827957	WW23
contig_22249	contig_21264	92	93	2	91	4	93	90	5.59e-43	167	90	100	1	90	97.8260869565217	WW23
contig_22712	contig_6021	91	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_22747	contig_6516	91	91	1	91	1	91	91	7.14e-42	163	88	98.901	1	91	100	WW23
contig_22758	contig_20811	91	91	1	91	1	91	91	1.53e-43	169	91	100	1	91	100	WW23
contig_23066	contig_15041	91	92	2	91	3	92	90	5.52e-43	167	90	100	1	90	98.9010989010989	WW23
contig_23075	contig_8121	90	70	1	73	1	70	73	9.44e-16	76.8	41	86.301	1	73	81.1111111111111	WW23
contig_23768	contig_12718	91	92	1	91	2	92	91	1.53e-43	169	91	100	1	91	100	WW23
contig_35946	contig_15041	90	92	2	90	3	92	90	9.11e-41	159	86	98.889	1	89	98.8888888888889	WW23
contig_36353	contig_3186	90	92	1	75	2	76	75	1.19e-34	139	75	100	1	75	83.3333333333333	WW23
contig_39036	contig_5579	90	92	1	90	2	92	91	1.18e-39	156	84	97.802	1	90	100	WW23
contig_4005	contig_19315	91	90	2	91	1	90	90	5.52e-43	167	90	100	1	90	98.9010989010989	WW23
contig_4109	contig_15795	91	92	3	91	4	92	89	9.23e-41	159	86	98.876	1	89	97.8021978021978	WW23
contig_5966	contig_11893	91	92	2	91	2	91	90	5.52e-43	167	90	100	1	90	98.9010989010989	WW23
contig_7412	contig_22801	90	91	1	90	1	91	91	2.55e-36	145	78	95.604	1	90	100	WW23
contig_7862	contig_8315	86	91	2	86	1	86	86	1.45e-33	135	73	95.349	1	85	98.8372093023256	WW23
contig_9081	contig_9738	91	92	1	91	2	92	91	1.53e-43	169	91	100	1	91	100	WW23
contig_1047	contig_16193	92	85	8	91	1	84	84	3.92e-33	134	72	95.238	1	84	91.304347826087	WW24
contig_11498	contig_11985	92	91	1	90	1	90	90	8.37e-40	156	84	97.778	1	90	97.8260869565217	WW24
contig_11872	contig_3155	91	92	1	90	1	90	90	1.77e-41	161	87	98.889	1	90	98.9010989010989	WW24
contig_13581	contig_7802	91	91	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_14553	contig_5226	91	91	1	90	1	90	90	3.81e-43	167	90	100	1	90	98.9010989010989	WW24
contig_14809	contig_7802	91	91	1	90	1	91	91	1.77e-41	161	87	98.901	1	90	98.9010989010989	WW24
contig_14885	contig_9219	92	91	2	75	2	75	74	3.03e-34	137	74	100	1	74	80.4347826086957	WW24
contig_15452	contig_8012	91	91	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_16028	contig_12459	87	92	2	85	3	86	84	7.8e-40	156	84	100	1	84	96.551724137931	WW24
contig_16065	contig_1199	93	93	1	93	1	93	93	8.42e-45	172	93	100	1	93	100	WW24
contig_16548	contig_12404	91	91	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_1674	contig_5995	91	92	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_21496	contig_10025	87	91	1	74	1	74	74	2.83e-34	137	74	100	1	74	85.0574712643678	WW24
contig_21502	contig_6176	91	91	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_21523	contig_14550	93	91	2	92	1	91	91	5.07e-42	163	88	98.901	1	91	97.8494623655914	WW24
contig_22249	contig_2633	92	91	1	91	1	91	91	1.07e-43	169	91	100	1	91	98.9130434782609	WW24
contig_22712	contig_9444	91	92	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_22747	contig_8867	91	91	1	91	1	91	91	4.93e-42	163	88	98.901	1	91	100	WW24
contig_22758	contig_12611	91	92	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_23066	contig_13180	91	92	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_23768	contig_14363	91	91	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_35946	contig_13180	90	92	1	90	1	91	91	1.75e-41	161	87	98.901	1	90	100	WW24
contig_36353	contig_9219	90	91	2	75	2	75	74	2.95e-34	137	74	100	1	74	82.2222222222222	WW24
contig_39036	contig_8012	90	91	1	90	1	91	91	1.75e-41	161	87	98.901	1	90	100	WW24
contig_4109	contig_4172	91	92	1	91	1	91	91	4.93e-42	163	88	98.901	1	91	100	WW24
contig_5966	contig_13563	91	92	2	91	3	92	90	3.81e-43	167	90	100	1	90	98.9010989010989	WW24
contig_7862	contig_3861	86	91	2	77	1	76	76	2.17e-30	124	67	96.053	1	76	88.3720930232558	WW24
contig_9081	contig_820	91	91	1	91	1	91	91	1.06e-43	169	91	100	1	91	100	WW24
contig_1047	contig_5493	92	85	7	91	1	85	85	7.03e-37	147	79	97.647	1	85	92.3913043478261	M25
contig_11498	contig_14732	92	91	1	91	1	91	91	3.25e-40	158	85	97.802	1	91	98.9130434782609	M25
contig_13487	contig_19742	91	92	1	91	1	91	91	3.2e-40	158	85	97.802	1	91	100	M25
contig_13581	contig_22773	91	92	1	91	1	91	91	1.48e-43	169	91	100	1	91	100	M25
contig_14809	contig_22773	91	92	1	90	1	91	91	2.48e-41	161	87	98.901	1	90	98.9010989010989	M25
contig_2806	contig_4821	92	91	2	88	1	88	88	1.17e-39	156	84	98.864	1	87	94.5652173913043	M25
contig_3118	contig_18216	93	92	1	92	1	90	93	7.12e-37	147	79	95.699	1	92	98.9247311827957	M25
contig_4675	contig_11259	86	92	1	86	1	87	87	3.86e-39	154	83	98.851	1	86	100	M25
contig_7412	contig_19742	90	92	1	90	1	91	91	1.14e-39	156	84	97.802	1	90	100	M25
contig_7862	contig_10566	86	92	1	86	1	85	86	1.4e-33	135	73	95.349	1	86	100	M25
contig_8611	contig_12670	90	92	1	90	1	92	92	3.18e-35	141	76	94.565	1	90	100	M25
contig_1047	contig_16101	92	79	13	91	1	79	79	2.22e-28	119	64	93.671	1	79	85.8695652173913	F19
contig_11498	contig_5758	92	91	1	91	1	91	91	4.71e-40	158	85	97.802	1	91	98.9130434782609	F19
contig_13487	contig_19551	91	91	1	91	1	91	91	2.15e-43	169	91	100	1	91	100	F19
contig_13581	contig_12896	91	91	1	91	1	91	91	2.15e-43	169	91	100	1	91	100	F19
contig_14809	contig_12896	91	91	1	90	1	91	91	3.59e-41	161	87	98.901	1	90	98.9010989010989	F19
contig_23066	contig_21192	91	91	1	91	1	91	91	2.15e-43	169	91	100	1	91	100	F19
contig_2806	contig_4288	92	91	2	88	1	88	88	3.67e-36	145	78	96.591	1	87	94.5652173913043	F19
contig_3118	contig_14767	93	91	1	93	1	91	94	2.88e-37	148	80	95.745	1	93	100	F19
contig_3138	contig_402	92	91	2	92	2	91	92	1.71e-34	139	75	94.565	1	91	98.9130434782609	F19
contig_35946	contig_21192	90	91	1	90	1	91	91	3.54e-41	161	87	98.901	1	90	100	F19
contig_4675	contig_13487	86	92	2	86	1	86	86	9.36e-37	147	79	97.674	1	85	98.8372093023256	F19
contig_7412	contig_19551	90	91	1	90	1	91	91	3.57e-36	145	78	95.604	1	90	100	F19
contig_7862	contig_20300	86	91	2	83	1	83	83	2.03e-33	135	73	96.386	1	82	95.3488372093023	F19
contig_8611	contig_904	90	91	1	90	1	91	91	3.57e-36	145	78	95.604	1	90	100	F19
contig_11498	contig_5061	92	91	1	91	1	91	91	3.13e-40	158	85	97.802	1	91	98.9130434782609	F13
contig_11872	contig_5067	91	92	1	91	2	92	91	1.43e-43	169	91	100	1	91	100	F13
contig_13487	contig_19327	91	91	2	91	2	91	90	5.13e-43	167	90	100	1	90	98.9010989010989	F13
contig_13581	contig_16072	91	91	1	91	1	91	91	6.63e-42	163	88	98.901	1	91	100	F13
contig_14809	contig_16072	91	91	1	90	1	91	91	1.11e-39	156	84	97.802	1	90	98.9010989010989	F13
contig_15452	contig_20441	91	91	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	F13
contig_16548	contig_10809	91	92	1	91	1	91	91	1.43e-43	169	91	100	1	91	100	F13
contig_22249	contig_15042	92	92	1	92	1	92	92	4.02e-44	171	92	100	1	92	100	F13
contig_23066	contig_815	91	91	1	91	1	90	91	1.12e-34	139	75	94.505	1	91	100	F13
contig_3118	contig_5703	93	91	1	90	1	91	91	2.45e-41	161	87	98.901	1	90	96.7741935483871	F13
contig_3138	contig_8944	92	91	1	92	1	91	93	3.15e-35	141	76	94.624	1	92	100	F13
contig_35946	contig_815	90	91	1	90	1	90	91	5.13e-33	134	72	93.407	1	90	100	F13
contig_39036	contig_20441	90	91	1	90	1	91	91	2.35e-41	161	87	98.901	1	90	100	F13
contig_4109	contig_11866	91	92	1	91	2	92	91	3.09e-40	158	85	97.802	1	91	100	F13
contig_4675	contig_13019	86	92	1	86	2	88	87	1.73e-37	148	80	97.701	1	86	100	F13
contig_7412	contig_19327	90	91	2	90	2	91	90	8.52e-36	143	77	95.556	1	89	98.8888888888889	F13
contig_7862	contig_10217	86	91	2	83	1	83	83	1.35e-33	135	73	96.386	1	82	95.3488372093023	F13
contig_8611	contig_13199	90	92	1	90	1	92	92	3.06e-35	141	76	94.565	1	90	100	F13
contig_1047	contig_11948	92	91	1	91	1	91	91	8.71e-39	152	82	96.703	1	91	98.9130434782609	F17
contig_11498	contig_11796	92	91	1	91	1	91	91	1.87e-40	158	85	97.802	1	91	98.9130434782609	F17
contig_4005	contig_8483	91	91	1	91	1	91	91	8.53e-44	169	91	100	1	91	100	F17
contig_4675	contig_6042	86	91	1	86	1	87	87	1.04e-37	148	80	97.701	1	86	100	F17
contig_7862	contig_10898	86	91	2	86	1	86	86	8.06e-34	135	73	95.349	1	85	98.8372093023256	F17
contig_1047	contig_19015	92	85	7	91	1	85	85	7.08e-37	147	79	97.647	1	85	92.3913043478261	F14
contig_11498	contig_23119	92	91	2	88	2	88	87	1.18e-39	156	84	98.851	1	87	94.5652173913043	F14
contig_13487	contig_20338	91	92	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	F14
contig_15452	contig_3194	91	94	1	91	3	93	91	1.49e-43	169	91	100	1	91	100	F14
contig_16028	contig_16404	87	84	8	86	1	79	79	6.65e-32	130	70	96.203	1	79	90.8045977011494	F14
contig_2806	contig_11279	92	91	2	88	1	88	88	5.47e-38	150	81	97.727	1	87	94.5652173913043	F14
contig_3118	contig_3887	93	91	1	90	1	91	91	2.56e-41	161	87	98.901	1	90	96.7741935483871	F14
contig_39036	contig_3194	90	94	1	90	3	93	91	2.46e-41	161	87	98.901	1	90	100	F14
contig_4005	contig_17958	91	91	1	91	1	91	91	1.49e-43	169	91	100	1	91	100	F14
contig_4675	contig_20799	86	90	2	86	1	86	86	6.51e-37	147	79	97.674	1	85	98.8372093023256	F14
contig_5966	contig_14330	91	91	2	91	2	91	90	5.4e-38	150	81	96.667	1	90	98.9010989010989	F14
contig_7412	contig_20338	90	92	1	90	1	91	91	2.48e-36	145	78	95.604	1	90	100	F14
contig_7862	contig_14658	86	91	2	86	1	86	86	1.41e-33	135	73	95.349	1	85	98.8372093023256	F14
contig_8611	contig_11333	90	91	1	88	1	90	90	8.91e-36	143	77	95.556	1	88	97.7777777777778	F14
